index,brand,title,price
246,联想（lenovo）,联想(Lenovo)小新Pro13锐龙版人脸识别全面屏性能轻薄,5599.00
247,联想（lenovo）,联想拯救者R7000 15.6英寸高性能六核标压版3D设计游戏本轻薄手提,5349.00
248,联想（lenovo）,联想YOGA14s 2021 90Hz高刷新率超轻薄游戏,7199.00
249,联想（lenovo）,联想拯救者y7000p八核旗舰酷睿i7 Adobe设计师电竞吃鸡 15.6英寸大学游戏,10499.00
250,联想（lenovo）,14英寸十一代酷睿i5商务家用办公娱乐轻薄便携网课高色域,4699.00
251,联想（lenovo）,联想,3999.00
252,联想（lenovo）,联想拯救者Y7000 2020新款十代酷睿i7吃鸡游戏本p 15.6英寸高色域设计办公学生,9099.00
253,联想（lenovo）,联想（Lenovo）昭阳K4e-IIL十代酷睿i5高性能14英寸超薄商务办公学生设计轻薄,4299.00
254,联想（lenovo）,联想(Lenovo)YOGA Pro13s 2021款超轻薄商务办公,8089.00
255,联想（lenovo）,联想拯救者 R7000 2020新款锐龙7nm吃鸡游戏p,7999.00
256,联想（lenovo）,联想拯救者R7000 15.6英寸高色域屏电竞游戏,6499.00
257,联想（lenovo）,联想(Lenovo)拯救者R7000 锐龙R5六核芯高性能游戏本p 15.6英寸高色域吃鸡,5999.00
258,联想（lenovo）,联想小新Air15 2021款11代酷睿MX450独显高性能轻薄本15.6英寸高色域全面屏,6199.00
259,联想（lenovo）,联想小新Air15 2021高色域锐龙版R7金属轻薄,5499.00
260,联想（lenovo）,联想,3399.00
261,联想（lenovo）,联想YOGA 14s 2021款 小新Pro14升级版 高性能超轻薄,6399.00
262,联想（lenovo）,联想（Lenovo)旗舰店拯救者R7000 15.6英寸吃鸡游戏,6299.00
263,联想（lenovo）,联想拯救者R7000 P图设计制图15.6英寸标压八核锐龙R7高色域,6999.00
264,联想（lenovo）,【2021款】联想YOGAPro 13s 13.3英寸2.5K全面屏超轻薄,7799.00
265,联想（lenovo）,联想威6 六核锐龙R5,4399.00
266,联想（lenovo）,"	
【二手9成新】联想（Lenovo）15.6寸拯救者/Y700/R720/y7000吃鸡游戏",2588.00
267,联想（lenovo）,联想拯救者Y9000K 15.6英寸十代i7酷睿八核高端3D设计144Hz高色域全面屏手提,15999.00
268,联想（lenovo）,"	
【二手9成新】联想（Thinkpad）X220 12.5英寸 商务办公轻薄便携二手",899.00
269,联想（lenovo）,联想 YOGADuet 2020款13英寸 十代酷睿i5 平板二合一,6599.00
270,联想（lenovo）,【12期免息】联想（Lenovo）威6 十一代酷睿 14英寸全面屏超轻薄手提办公女生大学生,4599.00
271,联想（lenovo）,联想拯救者y9000x 酷睿标压i7 广色域r轻薄办公设计吃鸡电竞游戏,6899.00
272,联想（lenovo）,联想(Lenovo)小新Pad 便携平板电脑 影音娱乐商务办公 莱茵认证网课平板学习模式8核处理器 11.5英寸2.5K全面屏 6G+128G  wifi版 支持人脸识别【网课优选】,2999.00
273,联想（lenovo）,联想（Lenovo）V340 十代酷睿i3 15.6英寸高性能商用轻薄办公游戏学生网课手提,4499.00
274,联想（lenovo）,联想V15  新一代锐龙R3,3199.00
275,联想（lenovo）,联想（Lenovo）V15 英特尔十代酷睿i3 超轻薄高性能独显办公游戏学生手提,3766.00
